date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,SHG_adj_close,SHG_cashflow,SHG_cml_units,SHG_cml_cost,SHG_gain_loss,SHG_avg_price,SHG_mktvalue,WF_adj_close,WF_cashflow,WF_cml_units,WF_cml_cost,WF_gain_loss,WF_avg_price,WF_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-01-01,0.0,-4985.833,277.778,4985.833,0.0,17.949,0.0,0.0,-4964.4,121.951,4964.4,0.0,40.708,0.0,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0,0.0,-4960.76,100.0,4960.76,0.0,49.608,0.0,0.0,-4998.685,625.0,4998.685,0.0,7.998,0.0,0.0,-4987.17,131.579,4987.17,0.0,37.902,0.0,0.0,-4992.9,166.667,4992.9,0.0,29.957,0.0,0.0,-4986.313,294.118,4986.313,0.0,16.953,0.0,0.0,-4997.2,416.667,4997.2,0.0,11.993,0.0
2020-01-02,18.448,-4985.833,277.778,4985.833,0.0,17.949,5124.505,40.87,-4964.4,121.951,4964.4,0.0,40.708,4984.146,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,51.21,-4960.76,100.0,4960.76,0.0,49.608,5121.0,8.15,-4998.685,625.0,4998.685,0.0,7.998,5093.443,37.45,-4987.17,131.579,4987.17,0.0,37.902,4927.632,30.09,-4992.9,166.667,4992.9,0.0,29.957,5015.0,17.143,-4986.313,294.118,4986.313,0.0,16.953,5041.963,12.82,-4997.2,416.667,4997.2,0.0,11.993,5341.667
2020-01-03,18.603,-4985.833,277.778,4985.833,0.0,17.949,5167.398,40.43,-4964.4,121.951,4964.4,0.0,40.708,4930.488,52.913,-4954.851,96.154,4954.851,0.0,51.53,5087.809,50.31,-4960.76,100.0,4960.76,0.0,49.608,5031.0,8.159,-4998.685,625.0,4998.685,0.0,7.998,5099.229,36.84,-4987.17,131.579,4987.17,0.0,37.902,4847.368,29.19,-4992.9,166.667,4992.9,0.0,29.957,4865.0,17.077,-4986.313,294.118,4986.313,0.0,16.953,5022.57,11.76,-4997.2,416.667,4997.2,0.0,11.993,4900.0
2020-01-06,18.53,-4985.833,277.778,4985.833,0.0,17.949,5147.213,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,49.4,-4960.76,100.0,4960.76,0.0,49.608,4940.0,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,36.51,-4987.17,131.579,4987.17,0.0,37.902,4803.947,28.75,-4992.9,166.667,4992.9,0.0,29.957,4791.667,17.265,-4986.313,294.118,4986.313,0.0,16.953,5077.976,11.07,-4997.2,416.667,4997.2,0.0,11.993,4612.5
2020-01-07,18.621,-4985.833,277.778,4985.833,0.0,17.949,5172.445,40.19,-4964.4,121.951,4964.4,0.0,40.708,4901.219,53.394,-4954.851,96.154,4954.851,0.0,51.53,5134.061,49.41,-4960.76,100.0,4960.76,0.0,49.608,4941.0,8.112,-4998.685,625.0,4998.685,0.0,7.998,5070.289,36.73,-4987.17,131.579,4987.17,0.0,37.902,4832.895,28.73,-4992.9,166.667,4992.9,0.0,29.957,4788.333,17.463,-4986.313,294.118,4986.313,0.0,16.953,5136.153,10.66,-4997.2,416.667,4997.2,0.0,11.993,4441.667
2020-01-08,18.475,-4985.833,277.778,4985.833,0.0,17.949,5132.075,39.93,-4964.4,121.951,4964.4,0.0,40.708,4869.512,53.818,-4954.851,96.154,4954.851,0.0,51.53,5174.764,50.05,-4960.76,100.0,4960.76,0.0,49.608,5005.0,8.205,-4998.685,625.0,4998.685,0.0,7.998,5128.17,36.35,-4987.17,131.579,4987.17,0.0,37.902,4782.895,27.74,-4992.9,166.667,4992.9,0.0,29.957,4623.333,16.973,-4986.313,294.118,4986.313,0.0,16.953,4992.097,9.5,-4997.2,416.667,4997.2,0.0,11.993,3958.333
2020-01-09,18.575,-4985.833,277.778,4985.833,0.0,17.949,5159.829,39.99,-4964.4,121.951,4964.4,0.0,40.708,4876.829,52.403,-4954.851,96.154,4954.851,0.0,51.53,5038.781,50.92,-4960.76,100.0,4960.76,0.0,49.608,5092.0,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,36.33,-4987.17,131.579,4987.17,0.0,37.902,4780.263,27.62,-4992.9,166.667,4992.9,0.0,29.957,4603.333,17.369,-4986.313,294.118,4986.313,0.0,16.953,5108.451,9.24,-4997.2,416.667,4997.2,0.0,11.993,3850.0
2020-01-10,18.812,-4985.833,277.778,4985.833,0.0,17.949,5225.431,39.82,-4964.4,121.951,4964.4,0.0,40.708,4856.098,51.951,-4954.851,96.154,4954.851,0.0,51.53,4995.303,51.18,-4960.76,100.0,4960.76,0.0,49.608,5118.0,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,35.65,-4987.17,131.579,4987.17,0.0,37.902,4690.79,27.15,-4992.9,166.667,4992.9,0.0,29.957,4525.0,17.557,-4986.313,294.118,4986.313,0.0,16.953,5163.856,10.0,-4997.2,416.667,4997.2,0.0,11.993,4166.667
2020-01-13,19.03,-4985.833,277.778,4985.833,0.0,17.949,5285.987,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,52.432,-4954.851,96.154,4954.851,0.0,51.53,5041.556,52.2,-4960.76,100.0,4960.76,0.0,49.608,5220.0,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,36.08,-4987.17,131.579,4987.17,0.0,37.902,4747.369,27.54,-4992.9,166.667,4992.9,0.0,29.957,4590.0,17.576,-4986.313,294.118,4986.313,0.0,16.953,5169.397,9.33,-4997.2,416.667,4997.2,0.0,11.993,3887.5
2020-01-14,18.712,-4985.833,277.778,4985.833,0.0,17.949,5197.677,40.8,-4964.4,121.951,4964.4,0.0,40.708,4975.61,52.086,-4954.851,96.154,4954.851,0.0,51.53,5008.254,52.32,-4960.76,100.0,4960.76,0.0,49.608,5232.0,8.224,-4998.685,625.0,4998.685,0.0,7.998,5139.746,35.88,-4987.17,131.579,4987.17,0.0,37.902,4721.053,27.45,-4992.9,166.667,4992.9,0.0,29.957,4575.0,16.813,-4986.313,294.118,4986.313,0.0,16.953,4945.002,9.73,-4997.2,416.667,4997.2,0.0,11.993,4054.166
