date,VIAV_adj_close,VIAV_cashflow,VIAV_cml_units,VIAV_cml_cost,VIAV_gain_loss,VIAV_avg_price,VIAV_mktvalue,ENIA_adj_close,ENIA_cashflow,ENIA_cml_units,ENIA_cml_cost,ENIA_gain_loss,ENIA_avg_price,ENIA_mktvalue,CRIS_adj_close,CRIS_cashflow,CRIS_cml_units,CRIS_cml_cost,CRIS_gain_loss,CRIS_avg_price,CRIS_mktvalue,ABIO_adj_close,ABIO_cashflow,ABIO_cml_units,ABIO_cml_cost,ABIO_gain_loss,ABIO_avg_price,ABIO_mktvalue,BIOC_adj_close,BIOC_cashflow,BIOC_cml_units,BIOC_cml_cost,BIOC_gain_loss,BIOC_avg_price,BIOC_mktvalue,CTIC_adj_close,CTIC_cashflow,CTIC_cml_units,CTIC_cml_cost,CTIC_gain_loss,CTIC_avg_price,CTIC_mktvalue,BIT_adj_close,BIT_cashflow,BIT_cml_units,BIT_cml_cost,BIT_gain_loss,BIT_avg_price,BIT_mktvalue,DSL_adj_close,DSL_cashflow,DSL_cml_units,DSL_cml_cost,DSL_gain_loss,DSL_avg_price,DSL_mktvalue,ONTX_adj_close,ONTX_cashflow,ONTX_cml_units,ONTX_cml_cost,ONTX_gain_loss,ONTX_avg_price,ONTX_mktvalue,XOMA_adj_close,XOMA_cashflow,XOMA_cml_units,XOMA_cml_cost,XOMA_gain_loss,XOMA_avg_price,XOMA_mktvalue,NVIV_adj_close,NVIV_cashflow,NVIV_cml_units,NVIV_cml_cost,NVIV_gain_loss,NVIV_avg_price,NVIV_mktvalue,PCI_adj_close,PCI_cashflow,PCI_cml_units,PCI_cml_cost,PCI_gain_loss,PCI_avg_price,PCI_mktvalue,NSPR_adj_close,NSPR_cashflow,NSPR_cml_units,NSPR_cml_cost,NSPR_gain_loss,NSPR_avg_price,NSPR_mktvalue,AUMN_adj_close,AUMN_cashflow,AUMN_cml_units,AUMN_cml_cost,AUMN_gain_loss,AUMN_avg_price,AUMN_mktvalue,BHK_adj_close,BHK_cashflow,BHK_cml_units,BHK_cml_cost,BHK_gain_loss,BHK_avg_price,BHK_mktvalue,TTNP_adj_close,TTNP_cashflow,TTNP_cml_units,TTNP_cml_cost,TTNP_gain_loss,TTNP_avg_price,TTNP_mktvalue,CYCC_adj_close,CYCC_cashflow,CYCC_cml_units,CYCC_cml_cost,CYCC_gain_loss,CYCC_avg_price,CYCC_mktvalue,MOSY_adj_close,MOSY_cashflow,MOSY_cml_units,MOSY_cml_cost,MOSY_gain_loss,MOSY_avg_price,MOSY_mktvalue,TENX_adj_close,TENX_cashflow,TENX_cml_units,TENX_cml_cost,TENX_gain_loss,TENX_avg_price,TENX_mktvalue,ASTC_adj_close,ASTC_cashflow,ASTC_cml_units,ASTC_cml_cost,ASTC_gain_loss,ASTC_avg_price,ASTC_mktvalue,CHNR_adj_close,CHNR_cashflow,CHNR_cml_units,CHNR_cml_cost,CHNR_gain_loss,CHNR_avg_price,CHNR_mktvalue,CTHR_adj_close,CTHR_cashflow,CTHR_cml_units,CTHR_cml_cost,CTHR_gain_loss,CTHR_avg_price,CTHR_mktvalue,CYTR_adj_close,CYTR_cashflow,CYTR_cml_units,CYTR_cml_cost,CYTR_gain_loss,CYTR_avg_price,CYTR_mktvalue,NAVB_adj_close,NAVB_cashflow,NAVB_cml_units,NAVB_cml_cost,NAVB_gain_loss,NAVB_avg_price,NAVB_mktvalue,PRKR_adj_close,PRKR_cashflow,PRKR_cml_units,PRKR_cml_cost,PRKR_gain_loss,PRKR_avg_price,PRKR_mktvalue,YTEN_adj_close,YTEN_cashflow,YTEN_cml_units,YTEN_cml_cost,YTEN_gain_loss,YTEN_avg_price,YTEN_mktvalue,IMUX_adj_close,IMUX_cashflow,IMUX_cml_units,IMUX_cml_cost,IMUX_gain_loss,IMUX_avg_price,IMUX_mktvalue,ONCT_adj_close,ONCT_cashflow,ONCT_cml_units,ONCT_cml_cost,ONCT_gain_loss,ONCT_avg_price,ONCT_mktvalue,PSTV_adj_close,PSTV_cashflow,PSTV_cml_units,PSTV_cml_cost,PSTV_gain_loss,PSTV_avg_price,PSTV_mktvalue,SEEL_adj_close,SEEL_cashflow,SEEL_cml_units,SEEL_cml_cost,SEEL_gain_loss,SEEL_avg_price,SEEL_mktvalue,SINT_adj_close,SINT_cashflow,SINT_cml_units,SINT_cml_cost,SINT_gain_loss,SINT_avg_price,SINT_mktvalue,TAOP_adj_close,TAOP_cashflow,TAOP_cml_units,TAOP_cml_cost,TAOP_gain_loss,TAOP_avg_price,TAOP_mktvalue,ARMP_adj_close,ARMP_cashflow,ARMP_cml_units,ARMP_cml_cost,ARMP_gain_loss,ARMP_avg_price,ARMP_mktvalue,AIM_adj_close,AIM_cashflow,AIM_cml_units,AIM_cml_cost,AIM_gain_loss,AIM_avg_price,AIM_mktvalue,SWKH_adj_close,SWKH_cashflow,SWKH_cml_units,SWKH_cml_cost,SWKH_gain_loss,SWKH_avg_price,SWKH_mktvalue,DCTH_adj_close,DCTH_cashflow,DCTH_cml_units,DCTH_cml_cost,DCTH_gain_loss,DCTH_avg_price,DCTH_mktvalue,ABCP_adj_close,ABCP_cashflow,ABCP_cml_units,ABCP_cml_cost,ABCP_gain_loss,ABCP_avg_price,ABCP_mktvalue,ACUR_adj_close,ACUR_cashflow,ACUR_cml_units,ACUR_cml_cost,ACUR_gain_loss,ACUR_avg_price,ACUR_mktvalue,AMTY_adj_close,AMTY_cashflow,AMTY_cml_units,AMTY_cml_cost,AMTY_gain_loss,AMTY_avg_price,AMTY_mktvalue,ANDR_adj_close,ANDR_cashflow,ANDR_cml_units,ANDR_cml_cost,ANDR_gain_loss,ANDR_avg_price,ANDR_mktvalue,ASTI_adj_close,ASTI_cashflow,ASTI_cml_units,ASTI_cml_cost,ASTI_gain_loss,ASTI_avg_price,ASTI_mktvalue,AVNI_adj_close,AVNI_cashflow,AVNI_cml_units,AVNI_cml_cost,AVNI_gain_loss,AVNI_avg_price,AVNI_mktvalue,BMIX_adj_close,BMIX_cashflow,BMIX_cml_units,BMIX_cml_cost,BMIX_gain_loss,BMIX_avg_price,BMIX_mktvalue,CCTC_adj_close,CCTC_cashflow,CCTC_cml_units,CCTC_cml_cost,CCTC_gain_loss,CCTC_avg_price,CCTC_mktvalue,CHGI_adj_close,CHGI_cashflow,CHGI_cml_units,CHGI_cml_cost,CHGI_gain_loss,CHGI_avg_price,CHGI_mktvalue,CICN_adj_close,CICN_cashflow,CICN_cml_units,CICN_cml_cost,CICN_gain_loss,CICN_avg_price,CICN_mktvalue,EQUR_adj_close,EQUR_cashflow,EQUR_cml_units,EQUR_cml_cost,EQUR_gain_loss,EQUR_avg_price,EQUR_mktvalue,GLAE_adj_close,GLAE_cashflow,GLAE_cml_units,GLAE_cml_cost,GLAE_gain_loss,GLAE_avg_price,GLAE_mktvalue,GNBT_adj_close,GNBT_cashflow,GNBT_cml_units,GNBT_cml_cost,GNBT_gain_loss,GNBT_avg_price,GNBT_mktvalue,HPTO_adj_close,HPTO_cashflow,HPTO_cml_units,HPTO_cml_cost,HPTO_gain_loss,HPTO_avg_price,HPTO_mktvalue,IGAP_adj_close,IGAP_cashflow,IGAP_cml_units,IGAP_cml_cost,IGAP_gain_loss,IGAP_avg_price,IGAP_mktvalue,IMUN_adj_close,IMUN_cashflow,IMUN_cml_units,IMUN_cml_cost,IMUN_gain_loss,IMUN_avg_price,IMUN_mktvalue,KALO_adj_close,KALO_cashflow,KALO_cml_units,KALO_cml_cost,KALO_gain_loss,KALO_avg_price,KALO_mktvalue,MGHL_adj_close,MGHL_cashflow,MGHL_cml_units,MGHL_cml_cost,MGHL_gain_loss,MGHL_avg_price,MGHL_mktvalue,MGTI_adj_close,MGTI_cashflow,MGTI_cml_units,MGTI_cml_cost,MGTI_gain_loss,MGTI_avg_price,MGTI_mktvalue,MHTX_adj_close,MHTX_cashflow,MHTX_cml_units,MHTX_cml_cost,MHTX_gain_loss,MHTX_avg_price,MHTX_mktvalue,OVTZ_adj_close,OVTZ_cashflow,OVTZ_cml_units,OVTZ_cml_cost,OVTZ_gain_loss,OVTZ_avg_price,OVTZ_mktvalue,QTXB_adj_close,QTXB_cashflow,QTXB_cml_units,QTXB_cml_cost,QTXB_gain_loss,QTXB_avg_price,QTXB_mktvalue,REEMF_adj_close,REEMF_cashflow,REEMF_cml_units,REEMF_cml_cost,REEMF_gain_loss,REEMF_avg_price,REEMF_mktvalue,RNVA_adj_close,RNVA_cashflow,RNVA_cml_units,RNVA_cml_cost,RNVA_gain_loss,RNVA_avg_price,RNVA_mktvalue
2019-01-02,0.0,-5000.0,503.525,5000.0,0.0,9.93,0.0,,,,,,,,0.0,-5000.0,6088.651,5000.0,0.0,0.821,0.0,0.0,-5000.0,841.758,5000.0,0.0,5.94,0.0,0.0,-5000.0,5102.041,5000.0,0.0,0.98,0.0,0.0,-5000.0,5377.501,5000.0,0.0,0.93,0.0,0.0,-5000.0,320.308,5000.0,0.0,15.61,0.0,0.0,-5000.0,281.215,5000.0,0.0,17.78,0.0,0.0,-5000.0,2057.613,5000.0,0.0,2.43,0.0,0.0,-5000.0,376.79,5000.0,0.0,13.27,0.0,0.0,-5000.0,102.248,5000.0,0.0,48.9,0.0,0.0,-5000.0,235.294,5000.0,0.0,21.25,0.0,0.0,-5000.0,594.884,5000.0,0.0,8.405,0.0,0.0,-5000.0,21484.123,5000.0,0.0,0.233,0.0,0.0,-5000.0,406.504,5000.0,0.0,12.3,0.0,0.0,-5000.0,3623.196,5000.0,0.0,1.38,0.0,0.0,-5000.0,7215.007,5000.0,0.0,0.693,0.0,0.0,-5000.0,1442.668,5000.0,0.0,3.466,0.0,0.0,-5000.0,4032.258,5000.0,0.0,1.24,0.0,,,,,,,,0.0,-5000.0,2901.579,5000.0,0.0,1.723,0.0,0.0,-5000.0,5681.818,5000.0,0.0,0.88,0.0,0.0,-5000.0,9708.738,5000.0,0.0,0.515,0.0,0.0,-5000.0,2180.359,5000.0,0.0,2.293,0.0,0.0,-5000.0,33333.332,5000.0,0.0,0.15,0.0,0.0,-5000.0,162.338,5000.0,0.0,30.8,0.0,0.0,-5000.0,599.233,5000.0,0.0,8.344,0.0,0.0,-5000.0,833.277,5000.0,0.0,6.0,0.0,0.0,-5000.0,312.5,5000.0,0.0,16.0,0.0,0.0,-5000.0,689.268,5000.0,0.0,7.254,0.0,0.0,-5000.0,876.723,5000.0,0.0,5.703,0.0,0.0,-5000.0,4048.583,5000.0,0.0,1.235,0.0,0.0,-5000.0,1518.474,5000.0,0.0,3.293,0.0,0.0,-5000.0,631.313,5000.0,0.0,7.92,0.0,0.0,-5000.0,526.316,5000.0,0.0,9.5,0.0,0.0,-5000.0,25.883,5000.0,0.0,193.177,0.0,0.0,-5000.0,16666.666,5000.0,0.0,0.3,0.0,0.0,-5000.0,35842.292,5000.0,0.0,0.14,0.0,,,,,,,,0.0,-5000.0,78492.938,5000.0,0.0,0.064,0.0,0.0,-5000.0,354609.922,5000.0,0.0,0.014,0.0,0.0,-5000.0,9090.909,5000.0,0.0,0.55,0.0,0.0,-5000.0,4999999.763,5000.0,0.0,0.001,0.0,,,,,,,,0.0,-5000.0,99999.999,5000.0,0.0,0.05,0.0,0.0,-5000.0,1219512.189,5000.0,0.0,0.004,0.0,0.0,-5000.0,76923.08,5000.0,0.0,0.065,0.0,0.0,-5000.0,168.919,5000.0,0.0,29.6,0.0,,,,,,,,0.0,-5000.0,20833.334,5000.0,0.0,0.24,0.0,0.0,-5000.0,10204.081,5000.0,0.0,0.49,0.0,0.0,-5000.0,1111.111,5000.0,0.0,4.5,0.0,,,,,,,,0.0,-5000.0,500.0,5000.0,0.0,10.0,0.0,0.0,-5000.0,84745.762,5000.0,0.0,0.059,0.0,0.0,-5000.0,624999.97,5000.0,0.0,0.008,0.0,0.0,-5000.0,55555.553,5000.0,0.0,0.09,0.0,0.0,-5000.0,2173912.995,5000.0,0.0,0.002,0.0,0.0,-5000.0,83333.335,5000.0,0.0,0.06,0.0,0.0,-5000.0,0.357,5000.0,0.0,14000.0,0.0
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,271739.124,5000.0,0.0,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,55617.351,5000.0,0.0,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1767.46,15873.016,5000.0,1767.489,0.315,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-555.6,62500.001,5000.0,-555.55,0.08,0.0,,,,,,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1000.04,125000.003,5000.0,-999.99,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,225.22,388.5,5000.0,231.42,12.87,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,207468.879,5000.0,0.0,0.024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3749.86,11904.762,5000.0,3749.94,0.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,0.0,1589.3,381.679,5000.0,1594.51,13.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,851.43,4854.369,5000.0,852.15,1.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
