date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue
2019-04-24,11.239,-4984.13,268.0,4984.13,1286.4,18.598,3011.992
2019-04-25,11.209,-4984.13,268.0,4984.13,1286.4,18.598,3003.996
2019-04-26,11.517,-4984.13,268.0,4984.13,1286.4,18.598,3086.625
2019-04-29,11.468,-4984.13,268.0,4984.13,1286.4,18.598,3073.298
2019-04-30,11.388,-4984.13,268.0,4984.13,1286.4,18.598,3051.974
2019-05-01,11.338,-4984.13,268.0,4984.13,1286.4,18.598,3038.646
2019-05-02,11.229,-4984.13,268.0,4984.13,1286.4,18.598,3009.326
2019-05-03,11.378,-4984.13,268.0,4984.13,1286.4,18.598,3049.308
2019-05-06,11.259,-4984.13,268.0,4984.13,1286.4,18.598,3017.323
2019-05-07,10.851,-4984.13,268.0,4984.13,1286.4,18.598,2908.038
2019-05-08,10.722,-4984.13,268.0,4984.13,1286.4,18.598,2873.387
2019-05-09,10.831,-4984.13,268.0,4984.13,1286.4,18.598,2902.707
2019-05-10,10.841,-4984.13,268.0,4984.13,1286.4,18.598,2905.373
2019-05-13,10.562,-4984.13,268.0,4984.13,1286.4,18.598,2830.739
2019-05-14,10.672,-4984.13,268.0,4984.13,1286.4,18.598,2860.059
2019-05-15,10.622,-4984.13,268.0,4984.13,1286.4,18.598,2846.732
2019-05-16,10.781,-4984.13,268.0,4984.13,1286.4,18.598,2889.38
2019-05-17,10.911,-4984.13,268.0,4984.13,1286.4,18.598,2924.031
2019-05-20,11.577,-4984.13,268.0,4984.13,1286.4,18.598,3102.618
2019-05-21,11.477,-4984.13,268.0,4984.13,1286.4,18.598,3075.963
2019-05-22,11.418,-4984.13,268.0,4984.13,1286.4,18.598,3059.97
2019-05-23,11.577,-4984.13,268.0,4984.13,1286.4,18.598,3102.618
2019-05-24,12.353,-4984.13,268.0,4984.13,1286.4,18.598,3310.525
2019-05-28,12.084,-4984.13,268.0,4984.13,1286.4,18.598,3238.558
2019-05-29,11.746,-4984.13,268.0,4984.13,1286.4,18.598,3147.931
2019-05-30,11.985,-4984.13,268.0,4984.13,1286.4,18.598,3211.903
2019-05-31,11.935,-4984.13,268.0,4984.13,1286.4,18.598,3198.575
2019-06-03,11.885,-4984.13,268.0,4984.13,1286.4,18.598,3185.248
2019-06-04,11.845,-4984.13,268.0,4984.13,1286.4,18.598,3174.586
2019-06-05,11.766,-4984.13,268.0,4984.13,1286.4,18.598,3153.262
2019-06-06,11.816,-4984.13,268.0,4984.13,1286.4,18.598,3166.59
2019-06-07,11.885,-4984.13,268.0,4984.13,1286.4,18.598,3185.248
2019-06-10,11.845,-4984.13,268.0,4984.13,1286.4,18.598,3174.586
2019-06-11,11.975,-4984.13,268.0,4984.13,1286.4,18.598,3209.237
2019-06-12,11.855,-4984.13,268.0,4984.13,1286.4,18.598,3177.252
2019-06-13,11.875,-4984.13,268.0,4984.13,1286.4,18.598,3182.583
2019-06-14,11.845,-4984.13,268.0,4984.13,1286.4,18.598,3174.586
2019-06-17,11.716,-4984.13,268.0,4984.13,1286.4,18.598,3139.935
2019-06-18,11.895,-4984.13,268.0,4984.13,1286.4,18.598,3187.913
2019-06-19,11.865,-4984.13,268.0,4984.13,1286.4,18.598,3179.917
2019-06-20,12.303,-4984.13,268.0,4984.13,1286.4,18.598,3297.198
2019-06-21,12.174,-4984.13,268.0,4984.13,1286.4,18.598,3262.547
2019-06-24,12.223,-4984.13,268.0,4984.13,1286.4,18.598,3275.874
2019-06-25,12.343,-4984.13,268.0,4984.13,1286.4,18.598,3307.86
2019-06-26,12.442,-4984.13,268.0,4984.13,1286.4,18.598,3334.515
2019-06-27,12.532,-4984.13,268.0,4984.13,1286.4,18.598,3358.504
2019-06-28,12.522,-4984.13,268.0,4984.13,1286.4,18.598,3355.839
2019-07-01,12.562,-4984.13,268.0,4984.13,1286.4,18.598,3366.501
2019-07-02,12.502,-4984.13,268.0,4984.13,1286.4,18.598,3350.508
2019-07-03,12.522,-4984.13,268.0,4984.13,1286.4,18.598,3355.839
2019-07-05,12.492,-4984.13,268.0,4984.13,1286.4,18.598,3347.842
2019-07-08,12.313,-4984.13,268.0,4984.13,1286.4,18.598,3299.864
2019-07-09,12.353,-4984.13,268.0,4984.13,1286.4,18.598,3310.525
2019-07-10,12.412,-4984.13,268.0,4984.13,1286.4,18.598,3326.518
2019-07-11,12.323,-4984.13,268.0,4984.13,1286.4,18.598,3302.529
2019-07-12,12.253,-4984.13,268.0,4984.13,1286.4,18.598,3283.871
2019-07-15,12.174,-4984.13,268.0,4984.13,1286.4,18.598,3262.547
2019-07-16,12.223,-4984.13,268.0,4984.13,1286.4,18.598,3275.874
2019-07-17,12.194,-4984.13,268.0,4984.13,1286.4,18.598,3267.878
2019-07-18,12.034,-4984.13,268.0,4984.13,1286.4,18.598,3225.23
2019-07-19,11.756,-4984.13,268.0,4984.13,1286.4,18.598,3150.597
2019-07-22,11.756,-4984.13,268.0,4984.13,1286.4,18.598,3150.597
2019-07-23,11.725,-4984.13,268.0,4984.13,1286.4,18.598,3142.313
2019-07-24,11.685,-4984.13,268.0,4984.13,1286.4,18.598,3131.625
2019-07-25,11.755,-4984.13,268.0,4984.13,1286.4,18.598,3150.33
2019-07-26,11.825,-4984.13,268.0,4984.13,1286.4,18.598,3169.034
2019-07-29,12.543,-4984.13,268.0,4984.13,1286.4,18.598,3361.42
2019-07-30,12.144,-4984.13,268.0,4984.13,1286.4,18.598,3254.539
2019-07-31,12.174,-4984.13,268.0,4984.13,1286.4,18.598,3262.555
2019-08-01,11.885,-4984.13,268.0,4984.13,1286.4,18.598,3185.066
2019-08-02,11.655,-4984.13,268.0,4984.13,1286.4,18.598,3123.609
2019-08-05,11.177,-4984.13,268.0,4984.13,1286.4,18.598,2995.351
2019-08-06,11.566,-4984.13,268.0,4984.13,1286.4,18.598,3099.561
2019-08-07,11.456,-4984.13,268.0,4984.13,1286.4,18.598,3070.168
2019-08-08,11.785,-4984.13,268.0,4984.13,1286.4,18.598,3158.345
2019-08-09,11.695,-4984.13,268.0,4984.13,1286.4,18.598,3134.297
2019-08-12,11.595,-4984.13,268.0,4984.13,1286.4,18.598,3107.577
2019-08-13,11.526,-4984.13,268.0,4984.13,1286.4,18.598,3088.873
2019-08-14,11.366,-4984.13,268.0,4984.13,1286.4,18.598,3046.12
2019-08-15,11.466,-4984.13,268.0,4984.13,1286.4,18.598,3072.84
2019-08-16,11.655,-4984.13,268.0,4984.13,1286.4,18.598,3123.609
2019-08-19,11.585,-4984.13,268.0,4984.13,1286.4,18.598,3104.905
2019-08-20,11.506,-4984.13,268.0,4984.13,1286.4,18.598,3083.529
2019-08-21,11.426,-4984.13,268.0,4984.13,1286.4,18.598,3062.152
2019-08-22,10.648,-4984.13,268.0,4984.13,1286.4,18.598,2853.734
2019-08-23,11.137,-4984.13,268.0,4984.13,1286.4,18.598,2984.663
2019-08-26,11.256,-4984.13,268.0,4984.13,1286.4,18.598,3016.728
2019-08-27,11.486,-4984.13,268.0,4984.13,1286.4,18.598,3078.185
2019-08-28,11.256,-4984.13,268.0,4984.13,1286.4,18.598,3016.728
2019-08-29,11.187,-4984.13,268.0,4984.13,1286.4,18.598,2998.024
2019-08-30,11.197,-4984.13,268.0,4984.13,1286.4,18.598,3000.695
2019-09-03,10.718,-4984.13,268.0,4984.13,1286.4,18.598,2872.438
2019-09-04,10.808,-4984.13,268.0,4984.13,1286.4,18.598,2896.486
2019-09-05,10.628,-4984.13,268.0,4984.13,1286.4,18.598,2848.389
2019-09-06,10.828,-4984.13,268.0,4984.13,1286.4,18.598,2901.83
2019-09-09,10.917,-4984.13,268.0,4984.13,1286.4,18.598,2925.878
2019-09-10,10.798,-4984.13,268.0,4984.13,1286.4,18.598,2893.814
2019-09-11,11.077,-4984.13,268.0,4984.13,1286.4,18.598,2968.631
2019-09-12,11.286,-4984.13,268.0,4984.13,1286.4,18.598,3024.744
2019-09-13,11.436,-4984.13,268.0,4984.13,1286.4,18.598,3064.824
2019-09-16,11.107,-4984.13,268.0,4984.13,1286.4,18.598,2976.647
2019-09-17,11.147,-4984.13,268.0,4984.13,1286.4,18.598,2987.336
2019-09-18,10.937,-4984.13,268.0,4984.13,1286.4,18.598,2931.223
2019-09-19,10.738,-4984.13,268.0,4984.13,1286.4,18.598,2877.782
2019-09-20,11.795,-4984.13,268.0,4984.13,1286.4,18.598,3161.018
2019-09-23,12.513,-4984.13,268.0,4984.13,1286.4,18.598,3353.404
2019-09-24,12.343,-4984.13,268.0,4984.13,1286.4,18.598,3307.98
2019-09-25,12.303,-4984.13,268.0,4984.13,1286.4,18.598,3297.292
2019-09-26,12.582,-4984.13,268.0,4984.13,1286.4,18.598,3372.108
2019-09-27,12.433,-4984.13,268.0,4984.13,1286.4,18.598,3332.028
2019-09-30,12.144,-4984.13,268.0,4984.13,1286.4,18.598,3254.539
2019-10-01,11.875,-4984.13,268.0,4984.13,1286.4,18.598,3182.394
2019-10-02,11.785,-4984.13,268.0,4984.13,1286.4,18.598,3158.345
2019-10-03,11.875,-4984.13,268.0,4984.13,1286.4,18.598,3182.394
2019-10-04,11.615,-4984.13,268.0,4984.13,1286.4,18.598,3112.921
2019-10-07,11.715,-4984.13,268.0,4984.13,1286.4,18.598,3139.641
2019-10-08,11.635,-4984.13,268.0,4984.13,1286.4,18.598,3118.265
2019-10-09,11.954,-4984.13,268.0,4984.13,1286.4,18.598,3203.77
2019-10-10,11.865,-4984.13,268.0,4984.13,1286.4,18.598,3179.722
2019-10-11,11.825,-4984.13,268.0,4984.13,1286.4,18.598,3169.034
2019-10-14,11.825,-4984.13,268.0,4984.13,1286.4,18.598,3169.034
2019-10-15,12.014,-4984.13,268.0,4984.13,1286.4,18.598,3219.802
2019-10-16,12.104,-4984.13,268.0,4984.13,1286.4,18.598,3243.851
2019-10-17,12.094,-4984.13,268.0,4984.13,1286.4,18.598,3241.179
2019-10-18,12.134,-4984.13,268.0,4984.13,1286.4,18.598,3251.867
2019-10-21,12.174,-4984.13,268.0,4984.13,1286.4,18.598,3262.555
2019-10-22,12.523,-4984.13,268.0,4984.13,1286.4,18.598,3356.076
2019-10-23,12.682,-4984.13,268.0,4984.13,1286.4,18.598,3398.829
2019-10-24,12.732,-4984.13,268.0,4984.13,1286.4,18.598,3412.189
2019-10-25,12.991,-4984.13,268.0,4984.13,1286.4,18.598,3481.662
2019-10-28,13.091,-4984.13,268.0,4984.13,1286.4,18.598,3508.382
2019-10-29,13.27,-4984.13,268.0,4984.13,1286.4,18.598,3556.479
2019-10-30,13.131,-4984.13,268.0,4984.13,1286.4,18.598,3519.07
2019-10-31,12.991,-4984.13,268.0,4984.13,1286.4,18.598,3481.662
2019-11-01,13.051,-4984.13,268.0,4984.13,1286.4,18.598,3497.694
2019-11-04,13.191,-4984.13,268.0,4984.13,1286.4,18.598,3535.102
2019-11-05,13.071,-4984.13,268.0,4984.13,1286.4,18.598,3503.038
2019-11-06,13.36,-4984.13,268.0,4984.13,1286.4,18.598,3580.527
2019-11-07,13.241,-4984.13,268.0,4984.13,1286.4,18.598,3548.463
2019-11-08,13.54,-4984.13,268.0,4984.13,1286.4,18.598,3628.624
2019-11-11,13.629,-4984.13,268.0,4984.13,1286.4,18.598,3652.672
2019-11-12,13.57,-4984.13,268.0,4984.13,1286.4,18.598,3636.64
2019-11-13,13.41,-4984.13,268.0,4984.13,1286.4,18.598,3593.887
2019-11-14,13.55,-4984.13,268.0,4984.13,1286.4,18.598,3631.296
2019-11-15,13.699,-4984.13,268.0,4984.13,1286.4,18.598,3671.376
2019-11-18,13.589,-4984.13,268.0,4984.13,1286.4,18.598,3641.984
2019-11-19,13.58,-4984.13,268.0,4984.13,1286.4,18.598,3639.312
2019-11-20,13.649,-4984.13,268.0,4984.13,1286.4,18.598,3658.016
2019-11-21,13.789,-4984.13,268.0,4984.13,1286.4,18.598,3695.425
2019-11-22,13.639,-4984.13,268.0,4984.13,1286.4,18.598,3655.344
2019-11-25,13.759,-4984.13,268.0,4984.13,1286.4,18.598,3687.409
2019-11-26,13.928,-4984.13,268.0,4984.13,1286.4,18.598,3732.833
2019-11-27,14.128,-4984.13,268.0,4984.13,1286.4,18.598,3786.274
2019-11-29,14.048,-4984.13,268.0,4984.13,1286.4,18.598,3764.898
2019-12-02,14.028,-4984.13,268.0,4984.13,1286.4,18.598,3759.553
2019-12-03,13.948,-4984.13,268.0,4984.13,1286.4,18.598,3738.177
2019-12-04,14.726,-4984.13,268.0,4984.13,1286.4,18.598,3946.596
2019-12-05,14.726,-4984.13,268.0,4984.13,1286.4,18.598,3946.596
2019-12-06,14.656,-4984.13,268.0,4984.13,1286.4,18.598,3927.892
2019-12-09,14.716,-4984.13,268.0,4984.13,1286.4,18.598,3943.924
2019-12-10,14.876,-4984.13,268.0,4984.13,1286.4,18.598,3986.677
2019-12-11,14.935,-4984.13,268.0,4984.13,1286.4,18.598,4002.709
2019-12-12,15.045,-4984.13,268.0,4984.13,1286.4,18.598,4032.101
2019-12-13,15.135,-4984.13,268.0,4984.13,1286.4,18.598,4056.149
2019-12-16,15.145,-4984.13,268.0,4984.13,1286.4,18.598,4058.821
2019-12-17,15.175,-4984.13,268.0,4984.13,1286.4,18.598,4066.838
2019-12-18,15.035,-4984.13,268.0,4984.13,1286.4,18.598,4029.429
2019-12-19,15.035,-4984.13,268.0,4984.13,1286.4,18.598,4029.429
2019-12-20,15.205,-4984.13,268.0,4984.13,1286.4,18.598,4074.854
2019-12-23,15.025,-4984.13,268.0,4984.13,1286.4,18.598,4026.757
2019-12-24,15.075,-4984.13,268.0,4984.13,1286.4,18.598,4040.117
2019-12-26,15.055,-4984.13,268.0,4984.13,1286.4,18.598,4034.773
2019-12-27,15.235,-4984.13,268.0,4984.13,1286.4,18.598,4082.87
2019-12-30,15.085,-4984.13,268.0,4984.13,1286.4,18.598,4042.789
2019-12-31,15.045,-4984.13,268.0,4984.13,1286.4,18.598,4032.101
2020-01-02,15.185,-4984.13,268.0,4984.13,1286.4,18.598,4069.51
2020-01-03,14.876,-4984.13,268.0,4984.13,1286.4,18.598,3986.677
2020-01-06,14.676,-4984.13,268.0,4984.13,1286.4,18.598,3933.236
2020-01-07,14.537,-4984.13,268.0,4984.13,1286.4,18.598,3895.827
2020-01-08,14.666,-4984.13,268.0,4984.13,1286.4,18.598,3930.564
2020-01-09,15.095,-4984.13,268.0,4984.13,1286.4,18.598,4045.461
2020-01-10,14.995,-4984.13,268.0,4984.13,1286.4,18.598,4018.741
2020-01-13,15.035,-4984.13,268.0,4984.13,1286.4,18.598,4029.429
2020-01-14,14.995,-4984.13,268.0,4984.13,1286.4,18.598,4018.741
2020-01-15,14.935,-4984.13,268.0,4984.13,1286.4,18.598,4002.709
2020-01-16,14.926,-4984.13,268.0,4984.13,1286.4,18.598,4000.037
2020-01-17,14.816,-4984.13,268.0,4984.13,1286.4,18.598,3970.644
2020-01-21,14.666,-4984.13,268.0,4984.13,1286.4,18.598,3930.564
2020-01-22,14.507,-4984.13,268.0,4984.13,1286.4,18.598,3887.811
2020-01-23,14.596,-4984.13,268.0,4984.13,1286.4,18.598,3911.86
2020-01-24,14.616,-4984.13,268.0,4984.13,1286.4,18.598,3917.204
2020-01-27,14.746,-4984.13,268.0,4984.13,1286.4,18.598,3951.94
2020-01-28,14.816,-4984.13,268.0,4984.13,1286.4,18.598,3970.644
2020-01-29,14.686,-4984.13,268.0,4984.13,1286.4,18.598,3935.908
2020-01-30,14.686,-4984.13,268.0,4984.13,1286.4,18.598,3935.908
2020-01-31,14.537,-4984.13,268.0,4984.13,1286.4,18.598,3895.827
2020-02-03,14.387,-4984.13,268.0,4984.13,1286.4,18.598,3855.747
2020-02-04,14.786,-4984.13,268.0,4984.13,1286.4,18.598,3962.628
2020-02-05,15.005,-4984.13,268.0,4984.13,1286.4,18.598,4021.413
2020-02-06,14.995,-4984.13,268.0,4984.13,1286.4,18.598,4018.741
2020-02-07,14.896,-4984.13,268.0,4984.13,1286.4,18.598,3992.02
2020-02-10,14.975,-4984.13,268.0,4984.13,1286.4,18.598,4013.397
2020-02-11,15.175,-4984.13,268.0,4984.13,1286.4,18.598,4066.838
2020-02-12,15.304,-4984.13,268.0,4984.13,1286.4,18.598,4101.574
2020-02-13,15.045,-4984.13,268.0,4984.13,1286.4,18.598,4032.101
2020-02-14,15.045,-4984.13,268.0,4984.13,1286.4,18.598,4032.101
2020-02-18,15.025,-4984.13,268.0,4984.13,1286.4,18.598,4026.757
2020-02-19,15.115,-4984.13,268.0,4984.13,1286.4,18.598,4050.805
2020-02-20,15.115,-4984.13,268.0,4984.13,1286.4,18.598,4050.805
2020-02-21,15.005,-4984.13,268.0,4984.13,1286.4,18.598,4021.413
2020-02-24,14.357,-4984.13,268.0,4984.13,1286.4,18.598,3847.731
2020-02-25,14.377,-4984.13,268.0,4984.13,1286.4,18.598,3853.075
2020-02-26,14.397,-4984.13,268.0,4984.13,1286.4,18.598,3858.419
2020-02-27,14.038,-4984.13,268.0,4984.13,1286.4,18.598,3762.225
2020-02-28,13.829,-4984.13,268.0,4984.13,1286.4,18.598,3706.113
2020-03-02,14.068,-4984.13,268.0,4984.13,1286.4,18.598,3770.242
2020-03-03,13.879,-4984.13,268.0,4984.13,1286.4,18.598,3719.473
2020-03-04,13.54,-4984.13,268.0,4984.13,1286.4,18.598,3628.624
2020-03-05,13.011,-4984.13,268.0,4984.13,1286.4,18.598,3487.006
2020-03-06,12.872,-4984.13,268.0,4984.13,1286.4,18.598,3449.597
2020-03-09,11.934,-4984.13,268.0,4984.13,1286.4,18.598,3198.426
2020-03-10,12.443,-4984.13,268.0,4984.13,1286.4,18.598,3334.7
2020-03-11,11.954,-4984.13,268.0,4984.13,1286.4,18.598,3203.77
2020-03-12,10.419,-4984.13,268.0,4984.13,1286.4,18.598,2792.277
2020-03-13,11.346,-4984.13,268.0,4984.13,1286.4,18.598,3040.776
2020-03-16,10.249,-4984.13,268.0,4984.13,1286.4,18.598,2746.852
2020-03-17,9.94,-4984.13,268.0,4984.13,1286.4,18.598,2664.019
2020-03-18,9.113,-4984.13,268.0,4984.13,1286.4,18.598,2442.24
2020-03-19,7.986,-4984.13,268.0,4984.13,1286.4,18.598,2140.3
2020-03-20,7.996,-4984.13,268.0,4984.13,1286.4,18.598,2142.972
2020-03-23,6.879,-4984.13,268.0,4984.13,1286.4,18.598,1843.704
2020-03-24,7.119,-4984.13,268.0,4984.13,1286.4,18.598,1907.833
2020-03-25,7.956,-4984.13,268.0,4984.13,1286.4,18.598,2132.284
2020-03-26,8.854,-4984.13,268.0,4984.13,1286.4,18.598,2372.767
2020-03-27,8.594,-4984.13,268.0,4984.13,1286.4,18.598,2303.294
2020-03-30,8.385,-4984.13,268.0,4984.13,1286.4,18.598,2247.182
2020-03-31,8.475,-4984.13,268.0,4984.13,1286.4,18.598,2271.23
2020-04-01,7.697,-4984.13,268.0,4984.13,1286.4,18.598,2062.811
2020-04-02,7.847,-4984.13,268.0,4984.13,1286.4,18.598,2102.892
2020-04-03,7.209,-4984.13,268.0,4984.13,1286.4,18.598,1931.881
2020-04-06,8.006,-4984.13,268.0,4984.13,1286.4,18.598,2145.644
2020-04-07,8.275,-4984.13,268.0,4984.13,1286.4,18.598,2217.789
2020-04-08,8.614,-4984.13,268.0,4984.13,1286.4,18.598,2308.638
2020-04-09,9.013,-4984.13,268.0,4984.13,1286.4,18.598,2415.52
2020-04-13,8.874,-4984.13,268.0,4984.13,1286.4,18.598,2378.111
2020-04-14,9.013,-4984.13,268.0,4984.13,1286.4,18.598,2415.52
2020-04-15,8.535,-4984.13,268.0,4984.13,1286.4,18.598,2287.262
2020-04-16,8.744,-4984.13,268.0,4984.13,1286.4,18.598,2343.375
2020-04-17,9.502,-4984.13,268.0,4984.13,1286.4,18.598,2546.45
2020-04-20,9.183,-4984.13,268.0,4984.13,1286.4,18.598,2460.944
2020-04-21,8.445,-4984.13,268.0,4984.13,1286.4,18.598,2263.214
2020-04-22,8.973,-4984.13,268.0,4984.13,1286.4,18.598,2404.832
2020-04-23,9.013,-4984.13,268.0,4984.13,1286.4,18.598,2415.52
2020-04-24,8.694,-4984.13,268.0,4984.13,1286.4,18.598,2330.015
2020-04-27,9.203,-4984.13,268.0,4984.13,1286.4,18.598,2466.288
2020-04-28,9.232,-4984.13,268.0,4984.13,1286.4,18.598,2474.305
2020-04-29,10.11,-4984.13,268.0,4984.13,1286.4,18.598,2709.444
2020-04-30,9.731,-4984.13,268.0,4984.13,1286.4,18.598,2607.906
2020-05-01,9.332,-4984.13,268.0,4984.13,1286.4,18.598,2501.025
2020-05-04,8.933,-4984.13,268.0,4984.13,1286.4,18.598,2394.144
2020-05-05,8.814,-4984.13,268.0,4984.13,1286.4,18.598,2362.079
2020-05-06,8.754,-4984.13,268.0,4984.13,1286.4,18.598,2346.047
2020-05-07,8.824,-4984.13,268.0,4984.13,1286.4,18.598,2364.751
2020-05-08,8.993,-4984.13,268.0,4984.13,1286.4,18.598,2410.176
2020-05-11,8.325,-4984.13,268.0,4984.13,1286.4,18.598,2231.15
2020-05-12,8.983,-4984.13,268.0,4984.13,1286.4,18.598,2407.504
2020-05-13,8.734,-4984.13,268.0,4984.13,1286.4,18.598,2340.703
2020-05-14,8.684,-4984.13,268.0,4984.13,1286.4,18.598,2327.343
