date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,ICCT_adj_close,ICCT_cashflow,ICCT_cml_units,ICCT_cml_cost,ICCT_gain_loss,ICCT_avg_price,ICCT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4995.62,42.017,4995.62,0.0,118.896,0.0,0.0,-4999.54,2.87,4999.54,0.0,1741.84,0.0,0.0,-4998.737,4.378,4998.737,0.0,1141.712,0.0,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,0.0,-4998.0,6.803,4998.0,0.0,734.706,0.0
2019-01-02,41.9,-4995.62,42.017,4995.62,0.0,118.896,1760.504,2.89,-4999.54,2.87,4999.54,0.0,1741.84,8.295,4.437,-4998.737,4.378,4998.737,0.0,1141.712,19.429,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.8,-4998.0,6.803,4998.0,0.0,734.706,46.259
2019-01-03,41.28,-4995.62,42.017,4995.62,0.0,118.896,1734.454,2.62,-4999.54,2.87,4999.54,0.0,1741.84,7.52,4.351,-4998.737,4.378,4998.737,0.0,1141.712,19.051,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.8,-4998.0,6.803,4998.0,0.0,734.706,46.259
2019-01-04,41.75,-4995.62,42.017,4995.62,0.0,118.896,1754.202,2.63,-4999.54,2.87,4999.54,0.0,1741.84,7.549,4.532,-4998.737,4.378,4998.737,0.0,1141.712,19.844,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.8,-4998.0,6.803,4998.0,0.0,734.706,46.259
2019-01-07,41.13,-4995.62,42.017,4995.62,0.0,118.896,1728.151,2.67,-4999.54,2.87,4999.54,0.0,1741.84,7.664,4.575,-4998.737,4.378,4998.737,0.0,1141.712,20.032,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,6.0,-4998.0,6.803,4998.0,0.0,734.706,40.816
2019-01-08,40.92,-4995.62,42.017,4995.62,0.0,118.896,1719.328,2.58,-4999.54,2.87,4999.54,0.0,1741.84,7.405,4.67,-4998.737,4.378,4998.737,0.0,1141.712,20.447,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.0,-4998.0,6.803,4998.0,0.0,734.706,47.619
2019-01-09,41.88,-4995.62,42.017,4995.62,0.0,118.896,1759.664,2.64,-4999.54,2.87,4999.54,0.0,1741.84,7.577,4.748,-4998.737,4.378,4998.737,0.0,1141.712,20.787,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,7.5,-4998.0,6.803,4998.0,0.0,734.706,51.02
2019-01-10,40.88,-4995.62,42.017,4995.62,0.0,118.896,1717.647,2.74,-4999.54,2.87,4999.54,0.0,1741.84,7.865,4.877,-4998.737,4.378,4998.737,0.0,1141.712,21.353,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.0,-4998.0,6.803,4998.0,0.0,734.706,54.422
2019-01-11,41.08,-4995.62,42.017,4995.62,0.0,118.896,1726.05,2.76,-4999.54,2.87,4999.54,0.0,1741.84,7.922,5.032,-4998.737,4.378,4998.737,0.0,1141.712,22.032,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.0,-4998.0,6.803,4998.0,0.0,734.706,54.422
2019-01-14,40.14,-4995.62,42.017,4995.62,0.0,118.896,1686.555,2.66,-4999.54,2.87,4999.54,0.0,1741.84,7.635,4.929,-4998.737,4.378,4998.737,0.0,1141.712,21.579,0.0,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.1,-4998.0,6.803,4998.0,0.0,734.706,55.102
