date,high,low,open,close,volume,adj_close
2020-01-02,1368.6800537109375,1346.489990234375,1348.4100341796875,1368.6800537109375,1363900.0,1368.6800537109375
2020-01-03,1373.75,1347.3199462890625,1348.0,1361.52001953125,1170400.0,1361.52001953125
2020-01-06,1398.3199462890625,1351.0,1351.6300048828125,1397.81005859375,2338400.0,1397.81005859375
2020-01-07,1403.5,1391.56005859375,1400.4599609375,1395.1099853515625,1716500.0,1395.1099853515625
2020-01-08,1411.8499755859375,1392.6300048828125,1394.8199462890625,1405.0400390625,1765700.0,1405.0400390625
2020-01-09,1428.6800537109375,1410.2099609375,1421.9300537109375,1419.7900390625,1660000.0,1419.7900390625
2020-01-10,1434.93994140625,1419.5999755859375,1429.469970703125,1428.9599609375,1312900.0,1428.9599609375
2020-01-13,1441.47998046875,1425.3699951171875,1435.25,1440.030029296875,1536500.0,1440.030029296875
2020-01-14,1442.6300048828125,1427.77001953125,1440.0,1430.5899658203125,1303800.0,1430.5899658203125
2020-01-15,1440.780029296875,1431.6600341796875,1433.02001953125,1439.199951171875,1077500.0,1439.199951171875
2020-01-16,1450.699951171875,1440.0,1445.449951171875,1450.1600341796875,1304000.0,1450.1600341796875
2020-01-17,1480.550048828125,1456.550048828125,1462.5400390625,1479.52001953125,2621200.0,1479.52001953125
2020-01-21,1489.8800048828125,1470.2099609375,1479.0,1482.25,2446500.0,1482.25
2020-01-22,1500.5799560546875,1482.6600341796875,1489.72998046875,1483.8699951171875,1422900.0,1483.8699951171875
2020-01-23,1493.5,1480.3199462890625,1487.550048828125,1484.68994140625,1332500.0,1484.68994140625
2020-01-24,1494.199951171875,1463.1800537109375,1492.8199462890625,1466.1700439453125,1489300.0,1466.1700439453125
2020-01-27,1436.5799560546875,1419.5,1431.5400390625,1431.72998046875,1706600.0,1431.72998046875
2020-01-28,1454.800048828125,1430.3599853515625,1441.739990234375,1450.5,1486200.0,1450.5
2020-01-29,1464.1400146484375,1445.3900146484375,1458.4599609375,1456.699951171875,1078300.0,1456.699951171875
2020-01-30,1455.25,1435.0,1438.0999755859375,1454.25,1355500.0,1454.25
2020-01-31,1469.6700439453125,1427.06005859375,1467.8599853515625,1432.780029296875,2191100.0,1432.780029296875
2020-02-03,1486.300048828125,1456.6099853515625,1461.6500244140625,1482.5999755859375,3581800.0,1482.5999755859375
2020-02-04,1467.3399658203125,1422.030029296875,1454.489990234375,1445.4100341796875,4794000.0,1445.4100341796875
2020-02-05,1464.5799560546875,1429.6800537109375,1463.6099853515625,1446.050048828125,1818800.0,1446.050048828125
2020-02-06,1481.56005859375,1450.47998046875,1451.97998046875,1475.969970703125,1891100.0,1475.969970703125
2020-02-07,1485.25,1465.4100341796875,1467.3900146484375,1479.1099853515625,1418000.0,1479.1099853515625
2020-02-10,1508.8800048828125,1475.199951171875,1477.22998046875,1508.6600341796875,1915100.0,1508.6600341796875
2020-02-11,1529.8800048828125,1505.449951171875,1513.27001953125,1510.06005859375,1742600.0,1510.06005859375
2020-02-12,1520.300048828125,1508.6700439453125,1515.8599853515625,1518.6300048828125,1552100.0,1518.6300048828125
2020-02-13,1525.949951171875,1504.0,1510.0,1513.3900146484375,1145700.0,1513.3900146484375
2020-02-14,1520.050048828125,1505.550048828125,1514.530029296875,1518.72998046875,1159900.0,1518.72998046875
2020-02-18,1530.56005859375,1511.010009765625,1514.3399658203125,1519.43994140625,1282100.0,1519.43994140625
2020-02-19,1530.739990234375,1520.97998046875,1527.199951171875,1524.8699951171875,1137300.0,1524.8699951171875
2020-02-20,1527.0699462890625,1504.260009765625,1519.010009765625,1516.989990234375,1298100.0,1516.989990234375
2020-02-21,1510.949951171875,1478.489990234375,1504.5799560546875,1483.4599609375,2126000.0,1483.4599609375
2020-02-24,1436.3800048828125,1406.7900390625,1423.050048828125,1419.8599853515625,2478000.0,1419.8599853515625
2020-02-25,1436.8499755859375,1380.4200439453125,1431.0,1386.3199462890625,2579000.0,1386.3199462890625
2020-02-26,1413.6700439453125,1376.550048828125,1394.97998046875,1390.469970703125,2488800.0,1390.469970703125
2020-02-27,1369.4000244140625,1314.239990234375,1359.1400146484375,1314.949951171875,3114500.0,1314.949951171875
2020-02-28,1342.449951171875,1268.2099609375,1274.31005859375,1339.25,4009900.0,1339.25
2020-03-02,1387.469970703125,1325.199951171875,1351.3900146484375,1386.3199462890625,2771500.0,1386.3199462890625
2020-03-03,1408.18994140625,1329.239990234375,1397.6800537109375,1337.719970703125,2830100.0,1337.719970703125
2020-03-04,1382.780029296875,1337.0,1358.9599609375,1381.5999755859375,2379900.0,1381.5999755859375
2020-03-05,1353.6300048828125,1301.6400146484375,1345.550048828125,1314.760009765625,2719000.0,1314.760009765625
2020-03-06,1302.75,1257.2099609375,1269.949951171875,1295.739990234375,3232000.0,1295.739990234375
2020-03-09,1252.72998046875,1198.0400390625,1204.9599609375,1215.7900390625,3462600.0,1215.7900390625
2020-03-10,1275.8499755859375,1214.510009765625,1254.3900146484375,1275.1700439453125,2743600.0,1275.1700439453125
2020-03-11,1256.9300537109375,1191.1400146484375,1248.27001953125,1210.9000244140625,2736600.0,1210.9000244140625
2020-03-12,1188.75,1108.469970703125,1122.6199951171875,1111.550048828125,4716300.0,1111.550048828125
2020-03-13,1214.4000244140625,1112.2900390625,1174.989990234375,1214.27001953125,3970000.0,1214.27001953125
2020-03-16,1145.469970703125,1067.0799560546875,1089.6099853515625,1073.0,4826000.0,1073.0
2020-03-17,1126.0,1049.0999755859375,1090.6400146484375,1118.06005859375,4159700.0,1118.06005859375
2020-03-18,1104.989990234375,1037.0,1059.93994140625,1091.18994140625,4652200.0,1091.18994140625
2020-03-19,1152.6099853515625,1055.550048828125,1088.219970703125,1111.6700439453125,3703200.0,1111.6700439453125
2020-03-20,1138.47998046875,1062.0999755859375,1130.9000244140625,1068.2099609375,4143900.0,1068.2099609375
2020-03-23,1066.9100341796875,1008.8699951171875,1056.3699951171875,1054.1300048828125,4183600.0,1054.1300048828125
2020-03-24,1133.3299560546875,1086.4300537109375,1103.97998046875,1130.010009765625,3623400.0,1130.010009765625
2020-03-25,1146.1700439453125,1083.010009765625,1124.5799560546875,1101.6199951171875,4516200.0,1101.6199951171875
2020-03-26,1171.47998046875,1092.030029296875,1114.719970703125,1162.9200439453125,3828100.0,1162.9200439453125
2020-03-27,1151.050048828125,1104.0,1127.469970703125,1110.260009765625,3139700.0,1110.260009765625
2020-03-30,1151.0,1098.489990234375,1132.6400146484375,1146.31005859375,2936800.0,1146.31005859375
2020-03-31,1173.4000244140625,1136.719970703125,1148.72998046875,1161.949951171875,3261400.0,1161.949951171875
2020-04-01,1129.4200439453125,1093.489990234375,1124.0,1102.0999755859375,2598500.0,1102.0999755859375
2020-04-02,1122.77001953125,1093.1300048828125,1100.0,1117.030029296875,2820500.0,1117.030029296875
2020-04-03,1118.7900390625,1075.0799560546875,1114.7099609375,1092.699951171875,2568700.0,1092.699951171875
2020-04-06,1190.75,1125.0,1133.0,1183.18994140625,3166000.0,1183.18994140625
2020-04-07,1220.780029296875,1177.25,1217.010009765625,1182.56005859375,3081000.0,1182.56005859375
2020-04-08,1214.9000244140625,1183.949951171875,1203.0999755859375,1207.0,2016700.0,1207.0
2020-04-09,1221.989990234375,1192.4200439453125,1218.1800537109375,1206.5699462890625,2701400.0,1206.5699462890625
2020-04-13,1214.52001953125,1182.3299560546875,1201.5,1210.4100341796875,1935100.0,1210.4100341796875
2020-04-14,1275.75,1228.5400390625,1239.969970703125,1265.22998046875,3167900.0,1265.22998046875
2020-04-15,1275.1099853515625,1234.0,1246.510009765625,1257.300048828125,2111800.0,1257.300048828125
2020-04-16,1273.3599853515625,1238.199951171875,1267.1400146484375,1257.4300537109375,2894800.0,1257.4300537109375
2020-04-17,1290.0,1266.0,1281.699951171875,1279.0,2552500.0,1279.0
2020-04-20,1276.8199462890625,1256.43994140625,1269.8900146484375,1261.1500244140625,1764600.0,1261.1500244140625
2020-04-21,1250.0,1205.0,1242.7099609375,1212.1600341796875,2482400.0,1212.1600341796875
2020-04-22,1279.8800048828125,1237.199951171875,1241.1099853515625,1258.4100341796875,2314800.0,1258.4100341796875
2020-04-23,1288.1500244140625,1260.530029296875,1265.739990234375,1271.1700439453125,1710100.0,1271.1700439453125
2020-04-24,1277.7099609375,1244.0,1255.0,1276.5999755859375,1870100.0,1276.5999755859375
2020-04-27,1294.0999755859375,1265.06005859375,1292.0,1270.8599853515625,2209300.0,1270.8599853515625
2020-04-28,1284.760009765625,1230.3800048828125,1283.199951171875,1232.5899658203125,4035000.0,1232.5899658203125
2020-04-29,1360.1500244140625,1326.72998046875,1345.0,1342.1800537109375,5417900.0,1342.1800537109375
2020-04-30,1350.0,1321.5,1331.3599853515625,1346.699951171875,2792100.0,1346.699951171875
2020-05-01,1351.4300537109375,1309.6600341796875,1324.0899658203125,1317.3199462890625,2443600.0,1317.3199462890625
2020-05-04,1324.469970703125,1296.010009765625,1308.1300048828125,1322.9000244140625,1540300.0,1322.9000244140625
2020-05-05,1371.010009765625,1335.030029296875,1337.5,1349.02001953125,1983300.0,1349.02001953125
2020-05-06,1368.68994140625,1345.1300048828125,1358.0,1345.4300537109375,1586600.0,1345.4300537109375
2020-05-07,1376.0,1352.5400390625,1361.31005859375,1369.280029296875,1532600.0,1369.280029296875
2020-05-08,1396.6400146484375,1372.010009765625,1381.8199462890625,1384.3399658203125,1666300.0,1384.3399658203125
2020-05-11,1415.530029296875,1375.5,1376.7900390625,1403.5899658203125,1635900.0,1403.5899658203125
2020-05-12,1414.3299560546875,1374.510009765625,1408.219970703125,1375.1800537109375,1695900.0,1375.1800537109375
2020-05-13,1385.3299560546875,1328.010009765625,1376.1600341796875,1348.3299560546875,2018400.0,1348.3299560546875
2020-05-14,1357.3699951171875,1323.300048828125,1333.52001953125,1356.8599853515625,1833000.0,1356.8599853515625
